"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38"
"289.9/430",0.00425293169869841,0.0427248857656298,-0.0748467645172756,-0.0683890410835627,-0.160592627742128,-0.210460955614494,-0.260181148997309,0.119943032399527,0.00331026827776865,0.0612987741826633,0.00655760773435777,0.00415441742072431,0.0783008266319702,0.0382235241732653,0.0950107863802023,0.0754876240358475,0.057039113712013,0.0351522010069706,0.0625834664290991,0.204304546924815,0.0917756635741251,0.00706462587264022,0.0741778662519151,0.0428852910583218,-0.0253037577073923,0.0451196780928939,-0.0539149273996616,0.105605241276624,-0.0381076895248246,0.0454482996876263,-0.131246473802034,0.0231564605096191,0.0287947963498516,0.0781763953213554,-0.140545518824303,0.0127343319274518,-0.00174949986474909,-0.0877485571849932
"293.3/1455",-0.0468564682928624,0.0383942814476911,-0.0144956941484119,0.109638592852599,-0.0997212123257777,-0.0210273759270535,-0.00963603057402624,-0.070197456864183,-0.0581787911234047,0.0303705849643922,-0.00062062314147293,-0.0220468676315341,-0.100228887961873,-0.0516777391435073,0.0986240035691745,-0.016072750542781,-0.0590906529269357,0.048352479293219,0.0397323313707711,-0.099545503044116,-0.0155901274463181,0.0344423115935103,-0.092228470063169,0.0925563335873043,-0.0232413427392645,-0.00327401653258878,0.0597242628867855,-0.0747913616535624,-0.0300174603262223,0.0259990465086476,0.0760768426920984,0.0957539710357603,0.0192809070054789,0.0685031975668475,-0.0785330924383073,-0.00589321505679705,0.0198766079467501,-0.0330282856550572
"294.3/286",0.0745302653145881,-0.0514431222736171,0.0281146738677656,0.0533829793816096,-0.00309846440183229,0.0824578541840774,-0.0365326694974446,0.0752351244359063,0.0254777451360839,0.0322928057299749,-0.0205319634294419,-0.0339772884196424,-0.0346204125639545,-0.0262916069611634,0.0137970922882677,-0.0248878630775522,-0.00596578441409792,0.0286200569238664,0.0387993073709108,0.0245227531103337,0.0474936561054853,-0.0238613261831874,0.00137536755558137,-0.0185063479432479,0.024279708104168,0.000877654246373759,-0.0335215509981951,0.00791996747362252,0.0173879631784695,-0.000152539497983101,0.0350624824439294,0.0187539781098128,-0.0363564733279151,0.0433408776459063,-0.0422325535219337,0.0665829139758128,0.114449513766614,0.0199351963880642
"294.9/884",-0.0837720056817591,0.0251981132979965,-0.00699139123122302,0.063287484159652,0.0480077881619254,0.0320199020125646,-0.0691698531695228,0.0296065419484523,-0.0580611489292448,0.0051692368805256,0.0272899063269557,0.07728047197502,-0.0513604031550315,-0.0770698345438966,-0.00553530432237305,-0.0780482786033357,0.018670566951889,-0.0229925097432904,0.0358218840429421,0.0263641591581291,0.0535372404454738,0.0279854445175928,-0.00406071609587883,0.0010687579787028,0.0200426258616524,-0.0435967830671106,-0.0781469685006352,-0.00107421248860012,0.0205537184461559,-0.0147507565860686,-0.00646976071569877,0.0336078746040863,0.0129054571351878,0.0416058905960422,0.00050660994554787,-0.0185533809819312,-0.0145511195137452,-0.0262367238251582
"311.2/295",0.0556043584600057,-0.013790966620695,0.0918632235537774,0.07654191600193,-0.0210975921219464,0.0678061664470797,-0.100226572883151,0.0122342785788257,0.0653436376490727,-0.0576223031544187,-0.032195664909499,0.00581813829335283,-0.0447520416176793,0.0736958107392782,0.0547380637573997,-0.00539051300552403,0.0468713007835373,-0.0159542871088675,-0.0115950039056027,-0.0151555235200373,0.0132907884607884,-0.0873854861784231,-0.00575795751717329,-0.000502244480104777,0.0271963172709547,0.0443896959553372,-0.0900126069030274,0.0504565182073188,0.0449932217341346,-0.0259624236283882,0.00906501258374653,0.01000604976467,-0.0136088654762658,0.0296865044298399,-0.0715777625028887,-0.0487970215225203,0.000174808810270795,0.0293281062223479
"312/1889",0.0986647444234521,0.00970964501355598,-0.0388597973580734,0.0540752420026776,0.168150453098828,0.0349056911882629,0.0428544328440252,0.00450238843795274,-0.0106831057200161,-0.118642628752341,0.100788196948369,-0.0298540983374608,-0.00496607307836685,0.114645094580997,0.0242016923298768,0.127900840901227,0.131828048113805,0.0172556888483507,-0.0247045018857308,0.0643709139454665,-0.0327037469618203,-0.0540167902137409,0.102721077804628,0.055632639525914,0.0827757571046044,0.200592833651733,-0.0272608535917093,0.0680374144931856,0.0309190633991804,-0.102827323248587,0.0325785435508535,0.169984011810296,-0.0665356335752363,0.0373422785422328,0.0358162919915432,-0.00485549037448513,-0.014254305290783,0.0294130747031513
"312.1/300",0.0603884990141614,-0.0375496776601298,0.0789184666193178,0.0818130184169059,-0.0165282398555595,0.0861030728632332,-0.0932380096197708,0.0378758965649155,0.0718116468591447,-0.0194979433010846,-0.0599553945015709,-0.00149133916951173,-0.0751186218115133,0.0435255462105917,0.0363979258919933,0.00985080605479964,-0.020235252257686,-0.0298348428102805,0.0205408614192699,-0.00495613251216031,0.0717423715237788,-0.0517354615967317,-0.0951566619606502,0.01254619377876,0.0363600695614581,0.0540975635912138,-0.0722401256165011,0.0732093105118803,0.036062043031071,0.0976963059819399,0.0583204322079576,-0.0293354893008338,-0.00433142944358689,-0.0633327405989572,0.0669939822991054,0.00735375355265863,0.0264243256736525,0.0787736457897162
"317.2/345",-0.02871466545472,0.0496669631539216,-0.00751810207175359,-0.0101854668649899,0.0146908169168444,0.00560113757710525,0.000892005763895289,0.00298793513603721,-0.0547938262356598,-0.0789351794977179,0.100286612047288,-0.0209236775450162,0.0576248589261004,-0.0612436478356718,0.015815306098919,-0.138771344691052,-0.1133180739414,-0.0264922807069968,-0.0439640122870247,-0.00729552612786197,0.0530829729867841,-0.074891528166916,-0.0557395278147025,-0.0180397174449382,0.0201924605552454,0.0119650093841754,0.0565542528497072,0.0445320237643482,-0.0719018591629857,0.0551273605398342,-0.0726757269163807,-0.063433341296334,0.019205900546651,-0.0732822184205482,0.000585120799798068,-0.0297084240930569,0.00525993190868458,0.0461540849413982
"325.2/1282",-0.0423345524236423,-0.0286004215338153,0.00894269022874737,0.164952193915157,-0.00747975745811291,-0.0583541003239641,0.0538898408350278,-0.0710137980514401,-0.0441648665546883,-0.00753290740081512,0.0524268917310997,0.0076016654219439,0.0780183861080304,-0.0159980228805196,0.0117943059248047,0.130512646286798,-0.016387552675989,-0.0288839055760181,0.0576028131444752,0.0529632113857763,0.039382403658908,0.0620070138377601,0.0357903473224344,0.0644585788449753,0.0506790772161901,-0.0612121738194492,0.158591163134578,0.0608228139260608,0.158779331776551,0.131349030502356,0.0563940871365024,-0.0080578985995569,0.0325996217340418,-0.00114852487352046,-0.0716514524424925,0.057227415995769,0.0480572051321569,-0.0683407503011731
"325.9/941",0.0731596050077686,0.00999543209411775,-0.0719112832638732,0.0201067108593886,-0.0751486225913218,-0.0527168557400171,-0.0573168506070692,0.0460583141416077,0.0433095783390262,0.115743318807282,-0.0173030076120767,0.0053676483291576,0.0848885402123897,-0.0630622884524768,-0.147286601549949,0.0474675407895144,-0.0289874156697932,-0.111467651998541,0.0257428982728742,0.0178513874766082,-0.0225789941009203,-0.0934806661190167,-0.103876762493031,0.0969326730604529,0.0657032972648026,0.016925888467559,-0.102296923575056,0.0621162554698515,-0.0978675043606063,-0.140984936985029,-0.00417986039759717,0.0972379856935424,-0.083143973149172,0.0492290191945438,0.0478843872844545,-0.0695826480669629,-0.00452831750246252,0.0230539206621627
"336.8/768",-0.0540666802958139,0.0119187807381344,0.05933577552333,0.10940870157143,-0.00872222135336025,0.0390956217105211,0.0332358316180969,0.029776851991983,-0.0501052784818863,0.00407417526274465,0.119812210940166,0.0518760723221108,-0.0352558716911509,-0.060423854224291,0.0279012884305235,-0.0824603392329737,-0.107404682672998,-0.107726665815792,0.0475922770836864,-0.208106003984434,0.0223578785805825,-0.0484105428823416,0.0490629491188213,-0.119351030596604,-0.0611672115184964,0.0437829809103877,-0.0864898064638847,0.0457702433407237,-0.00381054739013556,-0.0280844612292598,0.0196078801325482,0.0739751865926496,0.0107303287065503,-0.050809902828106,0.0382313165409191,-0.0302122126852761,-0.0845948928523801,0.0742043386489018
"340.9/1104",0.0347759970122948,-0.0529575984003948,-0.136595500625608,0.0898753038311585,0.0300219904807338,-0.0120091541115427,-0.0918704615323784,-0.0196760183623762,-0.130948382331475,-0.0119513908199381,0.122763186667432,-0.146114817500641,-0.0692230073319841,-0.110711069731342,-0.109761880683957,-0.019457957253335,0.077504161689861,0.0359717140972644,0.0189805394308266,-0.147897473283632,-0.10812327043822,0.240337828188653,-0.147498746515459,-0.0353176381591422,0.137354629976061,0.0506049372539865,-0.0658092476183706,-0.121120177692255,0.0777799029893058,0.0726746309674533,0.0951591974619429,-0.143654646841337,-0.132706413983268,0.0778352967392675,0.0402103481781942,-0.0752371044295531,0.00578953921849875,-0.00620944998999639
