,HG1,HG10,HG4,HG5,HG6,HG7,HG8,HG9,MG1,MG10,MG2,MG3,MG4,MG5,MG6,MG7,MG8,MG9,HR1,HR10,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,MR1,MR10,MR2,MR3,MR4,MR5,MR6,MR7,MR8,MR9
341.9/582,126490.5331,6192.529781,5585.014099,609.4164079,5783.262775,10103.32842,10937.18701,107195.5723,246156.8179,257919.6661,221738.6416,417409.7836,52422.51826,161234.7378,77881.77576,65575.01969,70109.53942,42076.27862,41007.88509,5448.089842,6484.674952,1603.632845,6284.323368,1214.909999,43953.33276,823.0668637,20287.62421,15836.09043,155779.8516,4207.209033,128889.8028,32697.18547,51050.89376,13434.64511,41339.68215,36730.49336,28739.68981,2430.485173
342.9/1232,2006.767025,1349.287448,10569.64616,2529.149709,1729.414471,1021.319805,245.6427434,7402.491326,545.6136821,2381.301367,3366.335954,2415.122131,2763.218513,740.4611178,543.5094141,290.1700639,388.5177856,513.1789124,655.0521239,53494.20145,837.2424254,10670.0403,4234.88981,88060.48156,50057.1538,38872.88971,40507.96139,93429.20217,11367.18503,85297.16887,10675.60014,7577.966479,15877.86247,8401.065895,12070.13522,26540.43089,23570.00144,39882.84604
345.9/383,9918.307867,79387.60372,107486.477,11632.97011,16752.05948,7815.170355,48545.5318,38642.1385,3942.715348,11834.71452,36317.54097,20986.8915,37264.83148,14756.22417,8098.671507,20948.45206,21869.12279,19646.4381,0,383413.3645,0,713781.9717,401540.3483,0,326926.1112,188311.7907,263841.4096,111653.9036,20534.51516,415036.0071,149735.5743,0,215293.6533,89381.89893,65896.27616,355163.3589,374159.4465,125218.8011
350.9/1523,4694.022406,6776.490648,0,8997.514358,12146.01244,10344.88957,4410.60898,5382.218801,14042.72856,12650.56349,9039.411032,16237.37597,26646.36485,8375.137699,12391.20126,17725.55931,17370.241,14144.32446,99.31826106,3145.417848,325.5309469,705.9016136,60.539177,1848.364218,3790.119443,5414.408532,1367.055248,1243.218982,12916.9202,34848.69164,10356.09693,10453.4381,8930.963149,5345.375953,2949.259243,5482.200122,6295.217967,58143.26377
352.9/1298,5574.301002,1865.273458,162.0968273,187.1922974,16662.83016,14425.27115,0,23936.7867,18663.37473,22957.47842,25199.33778,18399.22366,175303.0727,44506.26641,16642.81794,19632.46341,18595.1866,94177.58439,2008.623333,310.789107,859.0531578,340.2349969,379.2709097,0,7350.5035,2488.501092,317.738449,15671.75628,91777.29403,40837.97804,49511.05527,144291.0852,90062.6017,116699.0508,19267.64819,79732.38042,101968.4569,158676.6209
354.9/1256,248069.243,1475380.774,282276.1077,2945002.134,1163442.898,1087733.078,1071342.82,67726.65411,74126.00518,215819.5674,231809.0914,57925.07045,580720.2678,207186.0078,17423.05433,19810.71639,15139.83773,281475.2408,6017.551723,188351.6738,1580999.859,75884.23274,14944.59148,326821.2995,36436.11744,768252.6546,41652.29893,281958.1254,109571.3752,116257.3744,7013.902777,28265.10911,1046.782395,7747.673043,334.6905102,1791.134851,1957.294558,9874.130135
355.2/303,16985.08797,6277.924604,11624.67933,7215.334431,11987.54735,12263.77628,10767.40252,12866.06188,12219.94186,10777.42502,14091.57456,15319.26104,10887.41688,5878.986897,13379.16816,15727.80012,14821.48463,8594.999482,37569.8352,5737.026086,60192.79508,3069.646749,10909.59815,5218.940008,42578.91401,3602.295048,29241.39099,43425.69692,13050.51671,25588.23882,20181.97349,18343.78925,26483.60204,26126.01196,41163.57427,23745.06692,28064.26179,17440.32519
356.8/1022,9599.081267,13623.90316,24744.51834,30933.28522,25724.06119,25692.44235,5024.835241,8319.102151,1177.306809,4184.413991,4666.913601,3182.277078,40376.03581,2313.550486,2105.951695,2902.700557,2956.9063,18074.34179,3388.46413,55012.24892,205805.4303,45151.19892,23691.11865,180325.3491,10709.19649,16563.65194,20695.305,96283.12715,5110.376613,74386.24925,1854.356525,12225.15449,12353.51804,5288.762847,4193.022104,17508.44951,25053.33639,20513.30604
357.2/1253,59049.39675,157961.359,141185.2927,154155.6565,163334.8676,168364.212,176828.1965,11851.80406,4966.358302,5090.424195,18288.94259,3950.19362,148493.6093,77217.20072,788.5945161,638.1662932,940.9343694,96378.4051,2766.310172,24625.44183,118332.3296,15476.65498,7909.132695,62288.92854,8488.663991,62601.66051,7345.945255,32833.65011,11127.02537,24666.73012,437.7748353,3287.634727,456.5877674,492.153336,481.3225242,750.9571909,318.5497882,1086.831321
360/2053,449.7391803,502.6186482,451.8627115,82.30984509,170.6992186,95.48918225,0,0,6430.416928,15462.47284,8264.243824,5406.064507,20686.44164,18687.73206,19514.96688,19626.04451,17915.19099,18438.66621,321.3460171,67.00507359,488.9319331,90.52370607,78.34992258,60.09183895,256.2649997,196.6677052,279.9638632,55.75784037,15022.87789,9148.469645,15717.50633,11115.26524,13500.92089,13374.11139,15454.87177,22227.53475,22399.39727,11407.65125
360.6/2055,6824.090081,22382.39273,14968.66485,14441.47681,17873.37856,16649.89067,15649.1489,23743.0045,15659.41666,2605.818788,14570.22703,15511.13369,2173.270204,2109.95326,5035.875501,3195.911086,2947.044795,2988.267409,6511.135808,16659.07748,4116.790099,11209.49832,8429.673399,14727.23369,16421.77494,32577.73271,21548.60921,17299.37665,2028.99115,1748.164961,3140.375901,2308.422398,2425.747865,2392.989046,2514.325015,3697.614311,3589.133848,2063.684972
364.9/1119,210160.8605,59435.53462,223463.2927,0,730927.1595,830514.4478,469022.4042,783673.9609,384806.3374,1263106.674,1139555.465,894764.5327,269139.1114,341384.8148,496125.0041,789457.5173,751309.0482,123316.2942,0,860002.7739,0,200080.6105,281834.6593,256126.4795,334046.0301,282732.2574,379692.528,162775.7397,463033.9347,105827.6439,332507.4467,115309.3357,239281.0562,100012.1721,481247.662,479259.3193,411882.7334,88093.63624
365.2/1117,343839.5919,913408.909,843896.7681,305397.8347,789248.3167,705574.8816,904776.5955,557212.9753,381313.0364,1085177.65,1036524.647,799586.3756,275095.8136,247078.4718,505571.2568,678738.5185,664926.8335,131622.2843,613770.6542,1273196.682,703851.9349,563832.6351,799544.3068,234430.703,708728.2313,267304.1127,345197.8019,280346.2764,365687.2295,103733.7009,222613.1053,113946.4,191392.5177,101498.5238,443650.2142,427244.6815,323151.6613,87249.81191
365.7/300,134724.6133,44036.44553,344043.0995,171563.2237,166447.5603,139292.2728,67239.76765,100338.7679,94471.98054,53114.37489,68211.94239,60524.77588,70060.41142,7445.117185,104656.4663,92331.91201,95416.11068,88459.87636,30702.48484,33544.27196,6223.273107,2990.334012,142802.1599,53160.92334,123201.139,5378.543216,13508.6998,4357.22654,3903.061703,900.5827938,2705.510195,5515.746573,1141.271149,1817.063831,933.1724061,9414.247056,11380.37258,812.8493737
366.7/1121,11648.10709,63430.41052,37468.08392,37420.25985,40076.84246,43356.41664,50855.12942,51368.77312,20283.63555,50283.31151,51819.40539,38570.79744,14933.01699,21561.26727,29549.75753,47357.84575,49945.94927,7633.952041,63578.37253,44115.75027,47998.46733,33934.53459,37966.40648,14289.67334,31732.57376,17390.80889,23195.17063,13947.65978,26100.67403,7755.465426,20061.50223,5587.276604,13509.73367,5980.566249,25247.89294,28647.84302,25361.41979,4830.231019
366.9/1471,1873.065963,1852.578743,0,131.4705771,18102.19497,270.9914889,75.33721485,1501.723999,13539.70577,38587.61042,25483.34006,11103.74396,61627.41805,200385.3975,41771.78458,28784.61543,29365.17556,96428.17963,539.9608496,1546.19073,156.7584993,416.516608,1405.085302,479.0624058,599.9121921,9040.353702,517.5691454,504.3349895,9532.793464,11601.48232,724.3139512,10534.40228,1319.325882,11633.37686,200.4434472,1916.819052,2032.868809,6792.436935
367.6/1473,42684.3972,798196.6115,29206.80304,146089.062,261022.7312,291909.8881,537286.3292,11643.79206,2075.381292,5899.873519,4297.609141,2036.170595,181241.5474,17344.09526,5956.188017,4699.222064,5148.918391,13272.81506,3592.589222,5303.919668,6269.650098,3698.969019,3303.812186,7108.178636,1976.815271,19761.0442,963.243841,1963.30091,2038.520891,1471.298359,410.7356684,2230.762533,370.2076959,1563.825411,418.739831,746.4278885,641.3617338,1101.857216
367.7/293,6023.470148,104810.8231,14640.17027,27925.80831,38027.82037,38529.56055,190379.141,9099.754588,12092.4945,31391.59346,50298.28541,21248.21905,18912.43069,31221.44739,29554.45468,33708.12083,32917.41159,10905.73908,12456.5659,21283.78167,43505.87556,23531.6776,11930.29536,74940.58191,8171.573429,35954.10883,10397.12698,5009.363465,37138.2189,16202.79252,39877.4839,40464.36583,43925.98201,23432.25582,12050.48583,30695.24649,22635.36461,19701.83565
370.2/1493,7745.683729,4174.883935,1098.662052,7351.255575,7161.855583,6948.556936,5278.908431,5857.274681,17163.24665,11548.57153,10828.23548,13316.67833,17127.41464,13340.37506,29668.87859,23463.0593,21266.51347,6273.091602,1311.458055,3131.038384,849.7604844,1747.872798,721.1398727,2087.877958,2488.218508,10729.14213,4280.185258,5906.746065,17579.98646,6968.846869,17685.00966,11160.27317,13448.96115,6257.471604,7066.220124,11152.25638,9300.819051,12473.55691
