"","HG1","HG10","HG4","HG5","HG6","HG7","HG8","HG9","MG1","MG10","MG2","MG3","MG4","MG5","MG6","MG7","MG8","MG9","HR1","HR10","HR2","HR3","HR4","HR5","HR6","HR7","HR8","HR9","MR1","MR10","MR2","MR3","MR4","MR5","MR6","MR7","MR8","MR9","PC1","PC2","PC3","pc1.change","pc2.change"
"805.2/2198",2006.34571125254,668.621179229231,3921.4331945926,1319.88075107656,2362.99039940728,1122.99231470557,496.722003759816,869.566318179248,117.018061290379,651.689427464386,1983.75238643214,683.230805851053,655.615069556225,353.216288122348,193.523581777699,455.528507171839,362.567250799388,312.021766810154,35514.2567293656,166358.859591383,172436.473575759,109101.052640911,224105.459438672,297709.144055865,106772.357920797,80639.3530015598,172115.069875995,224696.444754933,8236.8949011242,4354.07811608836,4628.88826816762,7334.73941455776,8094.35210794676,5326.02136020723,2471.41184010555,2134.89918801311,2155.84951098338,1220.43306848122,-0.0873639242233145,-0.101525835855751,0.0374863016038228,"none","DOWN"
"821.1/2109",315.251471836918,75.5243163974335,441.428740102266,406.252070644072,252.142516282853,196.166420230176,436.830973467728,28.0872907999903,138.445915155246,256.234779121005,439.369606597378,74.1184633548504,210.151538111766,143.42821708275,134.285199835338,56.1745815999806,65.6531757849402,70.0426751327302,6873.83175295691,22250.2576087824,20636.6554882529,13090.5382964864,7523.8714571517,38431.7775411065,7749.46896896437,6549.4082127391,35484.3596760863,41289.343097279,3195.59695340493,609.998068602057,1291.85991404372,1413.34605001911,1827.07568022838,677.105515977019,406.448015423218,410.383699866779,298.474932095584,216.733146058928,-0.0741112727681881,-0.0921284490808382,0.0405694440255585,"none","DOWN"
"839.1/1860",124.147056285292,82.8792194500566,1009.65267654125,152.947019744315,224.296199836535,203.453557257121,271.882952224987,31.6597806410864,132.113574884366,207.543832834228,616.199207464844,31.6597806410864,351.82554630811,31.6597806410864,63.3195612821728,31.6597806410864,220.909216096799,31.6597806410864,53450.3027184485,42780.8220847385,145846.167953688,96180.105732669,200459.394072559,199612.336129551,58868.9646501098,46695.5451314859,41405.9599056887,112413.490956219,1899.88743065856,11700.5520461139,5239.17194178247,6921.8318021711,6371.76870876858,5861.98473977455,4388.40459345363,12753.9575646109,13167.7964108607,5993.86965971775,-0.0672345177435402,-0.146403057892231,0.0382951082498147,"none","DOWN"
"839.2/1789",206.395457264936,178.757488139067,5072.10056867134,860.063160658876,323.02245612368,376.503906328355,34.1037467665349,327.087916471064,68.2074935330699,536.807824379997,1503.61800470122,282.053957189433,653.124549366534,34.1037467665349,34.1037467665349,34.1037467665349,75.8870052598417,256.460468121711,86009.6221671428,51444.869725892,153357.925404195,155369.41125133,238271.755816997,245926.185076803,85566.6320588114,53565.3343227933,66563.1908081017,180437.897397067,3877.48268173006,12859.6598119028,5798.56372360718,10750.3678772667,11237.2447291437,8979.24012585599,3966.38580057852,27023.1601120565,24201.0024508485,7501.92262652485,-0.0706836717411064,-0.146088288624406,0.0350373273609399,"none","DOWN"
"841.1/2165",823.877083256743,364.581363604714,1422.00308167621,281.650406442386,155.816536866962,555.411268645358,361.14624566325,504.651488870088,214.80062660831,61.5702535393403,519.271356151336,136.13676383843,69.5475286385044,157.239071380739,77.3718621698208,72.5566373588517,56.5522936560018,67.7603621612254,4542.29728025649,47060.2133524911,50061.1029905562,27660.1933676068,23110.1598203224,51946.8002467989,31275.6453406842,30356.137625064,59367.1130259028,30715.2422451013,6403.52999710757,3179.14639447919,3904.1841749134,2888.93294766276,4131.67990369909,1683.10716810411,589.958198596258,1253.12849762286,1057.07129726761,865.333057824522,-0.0778590136066469,-0.107842327132139,0.0199348534058508,"none","DOWN"
"875.2/1757",356.251909431885,159.980763905123,671.007488389238,229.716880333261,159.712855790276,268.603912347928,47.1948200330759,22.6772914555841,70.2228477165336,230.540693052695,822.044804606179,148.843276123571,45.3545829111681,181.189435364446,147.718843413517,56.6094929800311,22.6772914555841,86.842710365355,6038.75284322165,16866.9777571329,22797.4131625437,28480.5890474219,25016.1979299117,42502.6518395119,17399.3521932299,16279.0616830696,21176.7423601745,20144.8696977869,3440.78313040989,3782.40997327599,5288.13399622275,3189.79676526075,4889.52899478294,2679.9109952086,1065.00255002873,3570.99301672424,4241.40490438964,2190.29230996966,-0.0556438298415138,-0.128871660306383,0.023376863021788,"none","DOWN"
"891.8/1783",53.0541441785172,361.792632786324,8534.00965160307,214.918106580502,514.211277491139,450.336744903642,82.5268350761274,265.117615046144,237.374293876593,133.505812654381,394.889753283467,103.10154482547,139.990886637722,124.53834615467,129.787506881006,163.515233402551,45.9204184180263,130.159180494573,962.214451840887,18061.146273728,15965.4764264205,5897.27939899857,7931.04212497525,14215.1699552083,19667.4286793017,15163.9136026731,15406.0839688098,17992.0510176263,10288.2817295256,8031.38061094262,5514.74195210553,15595.7773003768,3800.87601162247,6850.1019399113,247.65798293349,462.921222223613,491.273924980002,4501.16151158328,-0.0558629104644505,-0.107598842415443,-0.0165345456200424,"none","DOWN"
"1066.2/2008",41543.0203194749,37967.9256284637,9343.58386132519,21047.6867970159,20194.3530071842,17825.4104037964,34246.8034965568,9128.8910250121,19184.5748157652,2472.61963904899,10210.7590108877,22991.3477878248,9966.77128196113,12564.2746149781,8910.32446132102,7408.51766635835,6982.57584072,5897.67691282309,6186.24283824737,3897.92488543785,1144.63128765338,321.389431327116,303.667632329278,1871.2131151068,1307.94212545667,421.419605717227,2339.04113427363,1879.26547106273,6109.91567981528,189.079081038013,855.822503266158,563.549994742498,258.395711223211,32.9409356594551,344.27645591597,65.8818713189103,193.261031166301,598.930066982722,-0.0189636660479952,0.124189731286869,0.021442996417561,"none","UP"
"1076.3/2007",35607.8542094266,40167.8694324688,10196.0055000717,19381.8091152242,23443.8941619867,18461.1996960828,37439.6827634104,8625.56847302819,12652.6430693862,2693.37692640338,9541.90545816971,17822.058477355,7803.57544259277,9905.35881701658,8707.25634150801,7136.9906586401,7028.96066928201,5473.31436252611,5555.57817289027,3704.52665979955,1101.52260568158,35.6151646671972,199.972402585001,1626.90251809359,811.568787822108,153.379602812201,2025.62933355138,1157.53511584153,3899.39326939837,343.528018683319,451.462875567377,386.27575579111,468.50441797624,71.2303293343944,35.6151646671972,35.6151646671972,71.4481229281053,359.020923849312,-0.0173022314154776,0.130440559278798,0.0163767732525834,"none","UP"
"1078.3/2050",34810.3406205003,512516.473503369,245447.29056854,323671.608938257,361132.433339464,260367.682675367,539086.031938903,173304.001275283,190536.119955808,40735.9072717447,146003.894086155,177212.647789333,102194.000845019,104412.104402805,163320.241102014,105334.402629319,103908.627102895,78821.5184676311,5270.55287878851,99990.2583633143,31575.9193102632,9328.63053199703,7679.85259021841,49694.9631721178,18519.2227524097,18272.6115822782,67158.4442448902,60488.5414076789,60095.3315579109,12351.3011285676,14308.741534396,15717.7017778513,7205.36307768567,1429.82496423787,161.090240617516,290.795694658779,117.287251559963,10559.0580538083,-0.0375331531382536,0.118877770248103,-0.0192803882317862,"none","UP"
"1078.6/2049",34007.5502729399,509438.991829818,244814.500222313,362250.813505157,357619.151274302,287597.770692419,534484.103691525,170399.693037309,211296.159187129,41452.8648610556,143769.402537521,221537.991337603,100446.102636753,101133.67938765,163925.299276735,101972.56431915,101191.121301185,78794.0170523982,5128.57479715968,94317.8875445341,31083.2618916756,9204.90595936982,7491.01865593033,47262.8642866719,16333.8751365143,18029.6452244714,65607.8239768954,61441.5850546104,59380.1555549583,11977.4774658363,14108.6341826991,15599.1778601328,6702.14435968734,1376.61481173166,223.62083919549,291.81518554756,159.395809856554,10566.0984328672,-0.0361935059843043,0.11962543150498,-0.0195684914631438,"none","UP"
"1136.4/2038",113803.903811948,72994.8724460624,45745.544140049,60808.5473359062,54371.9538262956,67111.0356907786,85635.0747055624,92624.5895566712,49731.4917240414,34932.0960921314,69208.5119997489,54288.0894909486,21740.2932938769,57458.2612415286,26653.9994060877,45514.4732922006,47903.9106199549,21431.746881267,683.564067966648,11487.1356569,1420.01521071488,1143.95994021447,613.891614253584,2325.14948330345,1529.32681140723,1215.92436345757,4075.75239962638,3379.88044422311,9947.48191430282,865.562457264892,2164.45467525721,908.774359264256,790.037349049235,519.946660263671,110.932071122905,221.864142245809,110.932071122905,1003.03826787766,-0.00757938064321571,0.141974023958966,-0.0115511834563325,"none","UP"
"218.2/1007",21581.9084687721,14264.174702571,17621.5804938593,6486.80858728488,17218.3509709348,27371.2402014916,20719.1795343965,30150.0064703426,15629.4274183211,14708.7009057859,20988.6813737819,17258.3510933015,13612.911408543,14943.6507607193,13451.3631508267,12325.0114922758,12184.5903811736,6927.19452875512,3292.16516244811,21340.5131264582,4609.5323250785,1259.20161135039,8150.63330459333,2852.65246510545,6192.00810935328,3567.68427409313,5921.93415872163,2451.15550444144,7450.89280080274,454.479350980864,4375.50990459323,1456.37790742355,1920.64532039617,854.342454037807,2268.40911218291,661.507912628411,1015.79408494171,74.7409948610071,-0.0153721437163423,0.0919454159402906,0.0440460498156243,"none","UP"
"220.2/1255",51067.6194235236,68167.9302530225,57251.3543001347,79834.5319550355,62562.890861162,63078.0664231483,66032.6209312572,20513.0607162752,11022.6764331285,16073.7290006842,23780.8194101196,19738.5233222478,34234.9301122795,28924.9530611947,6831.75407710358,10233.1741419409,10924.7402443644,24034.4667123993,3261.47932825843,26042.9608665726,70693.6414843459,20395.7878363707,6756.90759402638,38914.0919998556,10643.8548750589,45189.8918513313,10509.7177142675,25674.9624998284,9810.41552248752,5600.95566235943,59.2712682843208,4145.64984859811,60.1195951589487,613.155174048152,139.235344796414,173.039345754065,56.3038967881585,2768.14332858441,-0.0751834509042028,0.0963066058013938,-0.0121235000926098,"none","UP"
